platform,config,lepton_profile,status,node_group,gpu_type,nodes,gpus_per_node,gpu_count,container,precision,seq_length,global_batch,micro_batch,tensor_parallel,pipeline_parallel,context_parallel,expert_parallel,expert_tensor_parallel,recompute,dispatcher,tp_comm_overlap,shared_expert_overlap,train_iters,step_time_p50_s,step_time_p95_s,tokens_per_second_per_gpu,model_tflops_per_gpu,mfu_percent,peak_memory_gib,gpu_hours,validation_loss,notes
a100-current,vi_cpt_31_a100_hardware_baseline,lepton_nano_cpt,pending,az-sat-lepton-001,a100-80gb,8,8,64,nvcr.io/nvidia/nemo:26.02,bf16,8192,512,2,4,1,1,8,1,full,alltoall,false,false,200,,,,,,,,,Current A100 platform control on nemo:26.02
h100-gcp,vi_cpt_32_h100_gcp_hardware_baseline,lepton_nano_cpt_h100_gcp_tcpxo,pending,gcp-iad-lepton-002,h100-sxm-80gb,8,8,64,nvcr.io/nvidia/nemo:26.02,bf16,8192,512,2,4,1,1,8,1,full,alltoall,false,false,200,,,,,,,,,H100 GCP matched control on nemo:26.02
